buildingnumber,n_samples,residual_std,residual_cv,residual_uncertainty,qrf_mean_interval,qrf_uncertainty,ngb_mean_std,ngb_uncertainty,rank_std,n_models,model_disagreement,combined_uncertainty,confidence_tier,buildingname,grossarea,utility
148,5164,5.735058579656757e-06,0.02769964075906098,0.03028962538402278,1.9484168241609692e-05,0.0035684335591938026,0.00026943942244589555,0.00010858345294668613,83.61339605589525,5,0.6544338442514875,0.20632543679839357,Low,Scott Laboratory (0148),262375,ELECTRICITY
288,5164,2.5894051044333404e-07,0.03955536796099022,0.02047957961606397,4.011204778430827e-07,0.0,0.0002709335579463371,0.004961152633547925,85.74497069799487,5,0.6714045067936384,0.20830939881794294,Low,Parking Garage - Ohio Union North (0288),216738,ELECTRICITY
179,5164,1.377456885059204e-07,4.201530237888728,0.05389796726325241,3.658254285263209e-08,0.11457827034146836,0.0002709335579463371,0.9999999999999998,7.092249290598858,5,0.04520603048227296,0.20837576690902468,Low,Waterman - Laboratory Headquarters (0179),8443,ELECTRICITY
875,5164,8.304002471413867e-07,0.07817306323863504,0.021876673733899735,1.424534617323784e-06,0.007915786029905933,0.0002709335579463371,0.0030385772055147734,84.9164295057205,5,0.6648080251604597,0.20844014275661155,Low,Parking Garage - Ninth Ave E (0875),332400,ELECTRICITY
42,5164,1.0063123372262944e-06,0.05612787240223623,0.021701448942054922,3.398300011764513e-06,0.013941349603531902,0.00026943942244589555,0.001770269670630987,84.68352850466258,5,0.6629537695239833,0.20914744339128913,Low,Hughes Hall (0042),60613,ELECTRICITY
48,5164,2.2948410317038787e-05,0.2206246883816767,0.06322160693871798,5.324375327076995e-05,0.048976089151723856,0.00026943942244589555,0.0002646236545267591,76.08679254640717,5,0.5945103277462084,0.2096032962415879,Low,Pennsylvania Place (0048),11291,ELECTRICITY
869,5164,1.2140856462574947e-05,0.2526953147926168,0.042604574330219774,3.6275074215673714e-05,0.07540203338532289,0.00026943942244589555,0.0006299202423207324,76.01315675591957,5,0.5939240718738085,0.20990359024388733,Low,Pomerene Alumnae Scholarship House (0869),5904,ELECTRICITY
1004,5164,2.1638384570580627e-05,0.13748281851535413,0.05956611604571453,5.9404731964674455e-05,0.03436337876848276,0.00026943942244589555,0.00015828392528388285,78.53852557821543,5,0.6140299509883383,0.21069340739112916,Low,Jameson Crane Sports Medicine Institute (1004),116273,ELECTRICITY
348,5164,2.1859147417486047e-05,0.21636195987860662,0.05632396893049865,5.838495332358311e-05,0.05615088857352066,0.00026943942244589555,0.0002738888542758966,76.82252273910302,5,0.6003678889010992,0.21108636282100093,Low,Jesse Owens Recreation Center South (0348),23535,ELECTRICITY
278,5164,6.267809193622438e-07,0.11034270260077318,0.021935576450635437,5.386567485516416e-07,0.003646967144729183,0.0002709335579463371,0.005724947318750322,87.01609046607415,5,0.6815246049636383,0.21280853830827698,Low,Parking Garage - Arps (0278),323165,ELECTRICITY
73,5164,8.707220005112225e-06,0.0417165693088306,0.035367311661474665,2.6607539408684577e-05,0.007195535058671894,0.00026943942244589555,0.00010731638174539235,85.34225213808223,5,0.6681982382235608,0.21288464618744046,Low,Research Center (0073),119119,ELECTRICITY
154,5164,7.039735322749975e-06,0.31595016748269944,0.03287980546475033,1.6908503223809924e-05,0.07582092432056216,0.00026943942244589555,0.0014149167745740642,78.58562209463001,5,0.614404912798822,0.21335288407539837,Low,Poultry Brooding House 2 (0154),5661,ELECTRICITY
